id,core
crd_67c15e1a10e04510a5f6c78cf9119e22,legal
crd_8af5e037a64f41e58380427a86148bb5,legal
crd_8b9133c809b04113a3b464d0f1c2ca82,legal
crd_ef7ea6ffd33a4557961b74ea45e095d4,legal
crd_f3f30e7e137c4336a2551abfa4b4eeaf,legal
crd_7a47845bdb01452e9faae9028fb22eeb,legal
crd_13df9fbee1d6457f8d4ca866073d28d3,legal
crd_716a89f3b6cf4f57b66888fd4166d1df,legal
crd_5008b128a011481396f80e0c9c5424bc,legal
crd_4ae1ca3505fc492eb6e4310ae36f3ba3,legal
crd_5ac4816ce7b240db942b5963a8db9909,legal
crd_a4f0a9a928674b2a93d17f7c81eb09d7,legal
crd_d9a1c24b8bf4469f8535e75c38cf61f7,legal
crd_1406e73a81ad4687ad3e502447d21287,legal
crd_25aa34175eeb4f30bbb9199f46040395,legal
crd_566472b873bc4f0caf367e8bc583e92e,legal
crd_ba452763794342109447ecb7b492d919,legal
crd_f6b07239b4384329b151160a80691d1b,legal
crd_bd43b98b4db44fc49f0aea4790ad393a,legal
crd_43db4d680b1c4ea7a375334266b28294,legal
crd_d3950786da4a4d3497090ce82253a144,legal
crd_e672bba7d4c5402f82d9360fca1594f5,legal
crd_04851c839e844359bfe6a0fa70158d38,legal
crd_8745424825aa4fa6840fbb0a19711247,legal
crd_1ab44dc7b1b1406ea256eb308fb857f5,legal
crd_be70d689335140bdadcde5f5356e169d,legal
crd_d4d29339b89f4a0aaeeb42f533e6fbbc,legal
crd_1af5228c0d75411ebc9eccf5cae1c086,legal
crd_4d6d0cbb004e486c8d038d3818d668a1,legal
crd_45b441afc5ff420f85eb9732b8b8e0c4,legal
crd_8ab16485ed264e15b2e70a3ff7d97ce0,legal
crd_5aab3c53b77844b2921a280dfe53bdaa,legal
crd_92c7a997ed6f441a807e91c8bd5aa470,legal
crd_a9fd85371b4f4a45bb279981167941d1,legal
crd_00735a560a294b3d9be2ca39fe1385a6,legal
crd_00dafa7609fb42d2a1a8e4e81e79474a,legal
crd_957cb3e7fff94353971bea94f4d0f154,legal
crd_ad676278d4e74481af58729c5c986b7b,legal
crd_86e375807dee4e26ab3254c11e7eed00,legal
crd_699c0e28637945e0a2ad8698e9695bb0,legal
crd_cc8e7afe0f344c32b64446caf7b31456,legal
crd_bb11d0da1233459c84ade5157719208f,legal
crd_1784510055ec43e49b13b2837192c1d1,legal
crd_c6b673289f9a4d2680a50dc6be9605dc,legal
crd_7ddf29d6110e4ccf838fa1ae76bbe034,legal
crd_6438731e38f642b38a24a0b566078fa3,legal
crd_872d8dd267f44d1ca4410036e7eed315,legal
crd_341f45661be2402b86ec54dd9e402bd3,legal
crd_962d3a1f68d842a2818db2f230723b87,legal
crd_cded72e2cdf242d490be6e3e32c3e17b,legal
crd_97817cbd2b964970b24740509392cf7b,legal
crd_27a77344b85748bd9d7d45de2969c918,legal
crd_f9025821a35c4cea9fd04182f7db5896,legal
crd_163516a9fa684676b2bed66aa7a64a35,legal
crd_bdeabb102e8a43af9b4e1699df256503,legal
crd_d119988be09743af8639f30e658caa8c,legal
crd_62c656f20cba4c43a1ed1f7ebc2ca720,legal
crd_1b985f3a7a854505902294c666c69c34,legal
crd_a7d5d3768a9d4c3db389429ccc654146,legal
crd_c219f80dc2d34bea9b7a9bfdb4e04528,legal
crd_d506a2271c444d7f9c2becae74535475,legal
crd_c4bb70c1ad214e2093ce724398d59e4b,legal
crd_d9f88c1c25a1490f9cac1cef82b51219,legal
crd_ffccea571e7e4efb9b5258ecc03e847b,legal
crd_74965b03fa644306af97644d8ad19c1d,legal
crd_4d0b6d09ae6c423ea874fbb6c659355e,legal
crd_d785c3ffe80440a5a9ef39641add4d23,legal
crd_f05ecc57c03640c68b45c6fc102f8a92,legal
crd_3893e351132b4fc28df9093b721f4f28,legal
crd_1f0feec19b8843c8888d22c1520239ac,legal
crd_89a33b4b36de4c2a97042cd58ca0e6e5,legal
crd_b1bb1284147849648c18082ac8b7f6b0,legal
crd_a4bd827fb4c6497fba686f38a21448ee,legal
crd_980a374d3ce34527868e0f78b48f63c6,legal
crd_d42f3cca7b9c46a988d81347b0a4ba8b,legal
crd_cc0c5bf9ccbf4884926461d06eed76b0,legal
crd_2ad6131751ce45c681919a185cbe640a,legal
crd_890de7a0c3e34c8da80430d86a27365c,legal
crd_993b13d7185d4c83a00718ee79e6ef00,legal
crd_f74acb5e986f496092a1c5ef8bfa741a,legal
crd_9f8f3cf328fe451e9be15353026085ee,legal
crd_ac107df1d3864416ac579de7b826d297,legal
crd_9ada4799889b49d69ae388f141a0c52c,legal
crd_ada8dfe4da974553886bcf9387198373,legal
crd_1121277f1b454321be2740185a61c1c7,legal
crd_c978412b40d24029866de7fb2c2218ee,legal
crd_2b3c2bc74af94a07ae07634fb74f237b,legal
crd_db1756b0f3fb4f77b212b8d264b73f84,legal
crd_921f3a8bbf1c486490121d18a6d45752,legal
crd_234735870c52442da86a7f8b2910ab74,legal
crd_fc70bb26c18544679b91bca3a7ad025c,legal
crd_d77c74eca9ae4b56b85f6c1feac4c1c5,legal
crd_9a81433a0c2c4944a0af1b1724213f40,legal
crd_2acf88cb06b24d1f990226ef95b1e9aa,legal
crd_b893e4f0b17c41338fe0396ba1dcc8b3,legal
crd_99add79c98f24262aff4cdc1e3d8231c,legal
crd_936d98ea79ba4a54bd3ef0a166ce6875,legal
crd_c914737245874c918af51cac073d6d36,legal
crd_396903bc291c456ab3a3ebbdea9b1952,legal
crd_e25b0a04fd4a44c18a2d52940e33ff64,legal
crd_2e69a512d9764bfdbfc1764bf8fd8e96,legal
crd_62d821004e3d483a8d3d91a220cada53,legal
crd_43915110e8b94147baf492d89356e0ca,legal
crd_462476bc47ff4cd7bf84c2bb4cd8f169,legal
crd_dda178292c7746de913c4dacee008ac9,legal
crd_b6996baaca9440328210eecc4afdc123,legal
crd_e2433a86940b43e8ac63f6eeddedf085,legal
crd_f42bd512c6d845f8a20449124fa02025,legal
crd_3ce4bffdc70b43b3b9da42984cd97a52,legal
crd_b4342b1e77754c4caec6596f27f963b2,legal
crd_9897b7dc2c8142b5b2afc74e87fa14ae,legal
crd_d4897bfa5fb047a894e6f69c3feebc1f,legal
crd_9f0ca76ac1444a1290ac0003ef15d292,legal
crd_c653c06c96ec4b699dde5bcec70e0693,legal
crd_e60ec9d70c4a46bd8b7e69b3092af826,legal
crd_5646a42f0a98475ba7c07e55f7cb47df,legal
crd_3c62b89fbbdc4162b250ee5525e10135,legal
crd_2977bf4ea525446f9f26eb7c272ed37b,legal
crd_380dc3639d7349c28a244b65ed675fcb,legal
crd_7cc596998ca54d02b163996079f18414,legal
crd_4b26cd44ef39414fbcb762fef390a5f3,legal
crd_3cead19199044fd5bb448a13f2ce8189,legal
crd_71fd1d1099c9451393725c4afa6ca274,legal
crd_95f558d0b08e47cf9c92c57a7719f874,legal
crd_03d2c58be83e4132a95c060de2b00cbe,legal
crd_6910c7f861604c41b2921961ebf886d1,legal
crd_f607033b63f544219ebcff94bd3c6e81,legal
crd_e5e54863fdb8474db4d0515a2a562ced,legal
crd_c608166f5ffb4bb195af64fb501902cb,legal
crd_40537dcea12e45f1b057ab68b337632c,legal
crd_03d8f4376dce4de989d8ba11a0d65ceb,legal
crd_f68e5422b47243a1b385c562531498f4,legal
crd_35f95b92c0ce4e8e85eef87a3edbeb29,legal
crd_69258eaba19a498182c2e4039c89466d,legal
crd_fc5e485b906a4e97b420d9ea122b4414,legal
crd_989b5642c80e4a999f54f75e02a2fb13,legal
crd_95033988f96048348b305ef2c6293ac6,legal
crd_1985d10b104a4176a621275358537fa9,legal
crd_810ae6612d094f8a89c5db907d193cf5,legal
crd_420df750d99c4942abedc0cde1307a3a,legal
crd_8355f42d81564fc288c8e67b0f04628c,legal
crd_68b76d76c7b1460cbae204778e1da3f2,legal
crd_d36e3111ff2a40f4916b08b01de3cbeb,legal
